id,title,category,facts,decision_summary,court,year,provisions
1,"Custodial beating of civilian","power_misuse","Police officers assaulted a civilian inside the station after he was brought for enquiry, without recording any formal arrest.","Court held the police liable for custodial violence and ordered monetary compensation along with departmental enquiry against the officers.","Madras High Court",2018,"Article 21, IPC 323, 341"
2,"Threatening shopkeeper with false case","police_intimidation","A police constable threatened a shopkeeper that he would register a false theft case if free goods were not given.","Court found misuse of authority and directed departmental action and warned against using criminal law for personal gain.","Karnataka High Court",2019,"IPC 503, 506"
3,"Illegal roadside beating during vehicle check","power_misuse","During a vehicle check, police hit a motorcyclist with a lathi for questioning the fine amount in front of the public.","Court termed the act as disproportionate use of force and directed compensation and sensitisation training for the officers.","Delhi High Court",2020,"Article 21, IPC 323"
4,"Threat to withdraw complaint","police_intimidation","Complainant alleged that the local Sub-Inspector repeatedly visited his house and forced him to withdraw an earlier complaint against another officer.","Court accepted the intimidation claim and transferred the case to another district for fair investigation, directing no contact by the accused officers.","Bombay High Court",2017,"Article 14, 21"
5,"Beating during illegal detention","power_misuse","A person was picked up without any FIR and was kept overnight in the station, where he was beaten and not allowed to contact family or lawyer.","Court held the detention illegal, ordered compensation, and asked the State to issue guidelines on arrest and detention.","Allahabad High Court",2016,"Article 22, D.K. Basu guidelines"
6,"Threat of foisting NDPS case","police_intimidation","A police officer allegedly threatened a youth that he would be booked under NDPS Act if he did not pay money.","Court considered the allegation serious, ordered preliminary enquiry by senior officer and warned that NDPS provisions cannot be used as a tool of harassment.","Punjab and Haryana High Court",2021,"NDPS Act, Article 21"
7,"Lathi charge on peaceful protest","power_misuse","Police used lathi charge on a small group of protestors who were sitting peacefully without blocking traffic, leading to injuries.","Court held that use of force was excessive and directed the State to frame guidelines on use of force during protests and to compensate injured protestors.","Madras High Court",2015,"Article 19, 21"
8,"Phone call intimidation for compromise","police_intimidation","A complainant received repeated late-night calls from a police officer asking him to settle a complaint privately and not pursue the case.","Court noted that police must remain neutral and directed a written warning and transfer of the officer, stressing that such calls shake public confidence.","Kerala High Court",2020,"Police Conduct Rules"
9,"Slapping during routine inquiry","power_misuse","A citizen was slapped by an officer during a simple enquiry at the station when he hesitated to answer a question.","Court held that even a single slap by a public officer in custody settings is a violation of dignity and awarded token compensation and costs.","Gujarat High Court",2014,"Article 21, IPC 323"
10,"Use of rank to silence complaint","police_intimidation","A senior officer called the complainant to his chamber and used his rank and position to pressure the complainant into signing a letter stating he had no grievance.","Court held that such conduct amounts to intimidation and directed departmental proceedings and instructions that complaints must be recorded without pressure.","Calcutta High Court",2013,"Article 14, 21"
